KEGG	GS115_MIT
ppa:PAS_chr1-3_0047	lcl|CP014715.1_cds_AOA65723.1_39
ppa:PAS_chr1-3_0048	lcl|CP014715.1_cds_AOA66299.1_40
ppa:PAS_chr1-3_0049	lcl|CP014715.1_cds_AOA65664.1_41
ppa:PAS_chr1-3_0050	lcl|CP014715.1_cds_AOA66298.1_42
ppa:PAS_chr1-3_0051	lcl|CP014715.1_cds_AOA66542.1_43
ppa:PAS_chr1-3_0052	lcl|CP014715.1_cds_AOA66361.1_44
ppa:PAS_chr1-3_0053	lcl|CP014715.1_cds_AOA66094.1_45
ppa:PAS_chr1-3_0291	lcl|CP014715.1_cds_AOA66553.1_46
ppa:PAS_chr1-3_0054	lcl|CP014715.1_cds_AOA66868.1_47
ppa:PAS_chr1-3_0055	lcl|CP014715.1_cds_AOA66138.1_48
ppa:PAS_chr1-3_0056	lcl|CP014715.1_cds_AOA66451.1_49
ppa:PAS_chr1-3_0057	lcl|CP014715.1_cds_AOA65862.1_50
ppa:PAS_chr1-3_0058	lcl|CP014715.1_cds_AOA65535.1_51
ppa:PAS_chr1-3_0059	lcl|CP014715.1_cds_AOA66242.1_52
ppa:PAS_chr1-3_0059	lcl|CP014715.1_cds_AOA66242.1_52
ppa:PAS_chr1-3_0293	lcl|CP014715.1_cds_AOA66837.1_53
ppa:PAS_chr1-3_0061	lcl|CP014715.1_cds_AOA66423.1_54
ppa:PAS_chr1-3_0063	lcl|CP014715.1_cds_AOA66088.1_55
ppa:PAS_chr1-3_0064	lcl|CP014715.1_cds_AOA65950.1_56
ppa:PAS_chr1-3_0065	lcl|CP014715.1_cds_AOA66627.1_57
ppa:PAS_chr1-3_0066	lcl|CP014715.1_cds_AOA66239.1_58
ppa:PAS_chr1-3_0067	lcl|CP014715.1_cds_AOA65677.1_59
ppa:PAS_chr1-3_0067	lcl|CP014715.1_cds_AOA65677.1_59
ppa:PAS_chr1-3_0068	lcl|CP014715.1_cds_AOA66050.1_60
ppa:PAS_chr1-3_0069	lcl|CP014715.1_cds_AOA65492.1_61
ppa:PAS_chr1-3_0070	lcl|CP014715.1_cds_AOA66367.1_62
ppa:PAS_chr1-3_0071	lcl|CP014715.1_cds_AOA66796.1_63
ppa:PAS_chr1-3_0072	lcl|CP014715.1_cds_AOA65836.1_64
ppa:PAS_chr1-3_0073	lcl|CP014715.1_cds_AOA66746.1_65
ppa:PAS_chr1-3_0074	lcl|CP014715.1_cds_AOA66223.1_66
ppa:PAS_chr1-3_0077	lcl|CP014715.1_cds_AOA65637.1_68
ppa:PAS_chr1-3_0077	lcl|CP014715.1_cds_AOA65636.1_67
ppa:PAS_chr1-3_0077	lcl|CP014715.1_cds_AOA65636.1_67
ppa:PAS_chr1-3_0294	lcl|CP014715.1_cds_AOA66221.1_69
ppa:PAS_chr1-3_0078	lcl|CP014715.1_cds_AOA65905.1_70
ppa:PAS_chr1-3_0079	lcl|CP014715.1_cds_AOA66263.1_71
ppa:PAS_chr1-3_0081	lcl|CP014715.1_cds_AOA65655.1_72
ppa:PAS_chr1-3_0082	lcl|CP014715.1_cds_AOA65482.1_73
ppa:PAS_chr1-3_0083	lcl|CP014715.1_cds_AOA66508.1_74
ppa:PAS_chr1-3_0084	lcl|CP014715.1_cds_AOA65957.1_75
ppa:PAS_chr1-3_0295	lcl|CP014715.1_cds_AOA66774.1_76
ppa:PAS_chr1-3_0085	lcl|CP014715.1_cds_AOA66871.1_77
ppa:PAS_chr1-3_0086	lcl|CP014715.1_cds_AOA65701.1_78
ppa:PAS_chr1-3_0088	lcl|CP014715.1_cds_AOA66134.1_79
ppa:PAS_chr1-3_0089	lcl|CP014715.1_cds_AOA65812.1_80
ppa:PAS_chr1-3_0090	lcl|CP014715.1_cds_AOA65509.1_81
ppa:PAS_chr1-3_0091	lcl|CP014715.1_cds_AOA66122.1_82
ppa:PAS_chr1-3_0296	lcl|CP014715.1_cds_AOA65461.1_84
ppa:PAS_chr1-3_0092	lcl|CP014715.1_cds_AOA66757.1_85
ppa:PAS_chr1-3_0093	lcl|CP014715.1_cds_AOA65433.1_86
ppa:PAS_chr1-3_0297	lcl|CP014715.1_cds_AOA65419.1_87
ppa:PAS_chr1-3_0094	lcl|CP014715.1_cds_AOA66896.1_88
ppa:PAS_chr1-3_0095	lcl|CP014715.1_cds_AOA65515.1_89
ppa:PAS_chr1-3_0096	lcl|CP014715.1_cds_AOA66170.1_90
ppa:PAS_chr1-3_0097	lcl|CP014715.1_cds_AOA65553.1_91
ppa:PAS_chr1-3_0098	lcl|CP014715.1_cds_AOA66577.1_92
ppa:PAS_chr1-3_0298	lcl|CP014715.1_cds_AOA66863.1_93
ppa:PAS_chr1-3_0099	lcl|CP014715.1_cds_AOA66624.1_94
ppa:PAS_chr1-3_0101	lcl|CP014715.1_cds_AOA65634.1_95
ppa:PAS_chr1-3_0102	lcl|CP014715.1_cds_AOA66285.1_96
ppa:PAS_chr1-3_0104	lcl|CP014715.1_cds_AOA66383.1_97
ppa:PAS_chr1-3_0104	lcl|CP014717.1_cds_AOA68427.1_3513
ppa:PAS_chr1-3_0299	lcl|CP014715.1_cds_AOA66331.1_98
ppa:PAS_chr1-3_0299	lcl|CP014715.1_cds_AOA66331.1_98
ppa:PAS_chr1-3_0105	lcl|CP014715.1_cds_AOA65443.1_99
ppa:PAS_chr1-3_0106	lcl|CP014715.1_cds_AOA65444.1_100
ppa:PAS_chr1-3_0107	lcl|CP014715.1_cds_AOA66630.1_101
ppa:PAS_chr1-3_0108	lcl|CP014715.1_cds_AOA65875.1_102
ppa:PAS_chr1-3_0109	lcl|CP014715.1_cds_AOA66694.1_103
ppa:PAS_chr1-3_0110	lcl|CP014715.1_cds_AOA65894.1_104
ppa:PAS_chr1-3_0111	lcl|CP014715.1_cds_AOA66118.1_105
ppa:PAS_chr1-3_0112	lcl|CP014715.1_cds_AOA66693.1_106
ppa:PAS_chr1-3_0113	lcl|CP014715.1_cds_AOA66275.1_107
ppa:PAS_chr1-3_0114	lcl|CP014715.1_cds_AOA66797.1_108
ppa:PAS_chr1-3_0115	lcl|CP014715.1_cds_AOA66879.1_109
ppa:PAS_chr1-3_0116	lcl|CP014715.1_cds_AOA66402.1_110
ppa:PAS_chr1-3_0118	lcl|CP014715.1_cds_AOA66309.1_111
ppa:PAS_chr1-3_0119	lcl|CP014715.1_cds_AOA66390.1_112
ppa:PAS_chr1-3_0120	lcl|CP014715.1_cds_AOA65462.1_113
ppa:PAS_chr1-3_0121	lcl|CP014715.1_cds_AOA66510.1_114
ppa:PAS_chr1-3_0122	lcl|CP014715.1_cds_AOA66743.1_115
ppa:PAS_chr1-3_0123	lcl|CP014715.1_cds_AOA66729.1_116
ppa:PAS_chr1-3_0125	lcl|CP014715.1_cds_AOA65733.1_117
ppa:PAS_chr1-3_0126	lcl|CP014715.1_cds_AOA65879.1_118
ppa:PAS_chr1-3_0127	lcl|CP014715.1_cds_AOA65964.1_119
ppa:PAS_chr1-3_0128	lcl|CP014715.1_cds_AOA66414.1_120
ppa:PAS_chr1-3_0129	lcl|CP014715.1_cds_AOA66543.1_121
ppa:PAS_chr1-3_0130	lcl|CP014715.1_cds_AOA65993.1_122
ppa:PAS_chr1-3_0131	lcl|CP014715.1_cds_AOA66820.1_123
ppa:PAS_chr1-3_0132	lcl|CP014715.1_cds_AOA65772.1_124
ppa:PAS_chr1-3_0133	lcl|CP014715.1_cds_AOA66598.1_125
ppa:PAS_chr1-3_0134	lcl|CP014715.1_cds_AOA66528.1_126
ppa:PAS_chr1-3_0135	lcl|CP014715.1_cds_AOA66646.1_127
ppa:PAS_chr1-3_0137	lcl|CP014715.1_cds_AOA65389.1_128
ppa:PAS_chr1-3_0138	lcl|CP014715.1_cds_AOA65401.1_129
ppa:PAS_chr1-3_0138	lcl|CP014715.1_cds_AOA65401.1_129
ppa:PAS_chr1-3_0142	lcl|CP014715.1_cds_AOA66681.1_130
ppa:PAS_chr1-3_0300	lcl|CP014715.1_cds_AOA66001.1_131
ppa:PAS_chr1-3_0144	lcl|CP014715.1_cds_AOA65450.1_132
ppa:PAS_chr1-3_0145	lcl|CP014715.1_cds_AOA66270.1_133
ppa:PAS_chr1-3_0146	lcl|CP014715.1_cds_AOA66151.1_134
ppa:PAS_chr1-3_0147	lcl|CP014715.1_cds_AOA65600.1_135
ppa:PAS_chr1-3_0148	lcl|CP014715.1_cds_AOA66279.1_136
ppa:PAS_chr1-3_0149	lcl|CP014715.1_cds_AOA65495.1_137
ppa:PAS_chr1-3_0149	lcl|CP014715.1_cds_AOA65495.1_137
ppa:PAS_chr1-3_0150	lcl|CP014715.1_cds_AOA65762.1_138
ppa:PAS_chr1-3_0150	lcl|CP014715.1_cds_AOA65762.1_138
ppa:PAS_chr1-3_0151	lcl|CP014715.1_cds_AOA66123.1_139
ppa:PAS_chr1-3_0151	lcl|CP014715.1_cds_AOA66123.1_139
ppa:PAS_chr1-3_0152	lcl|CP014715.1_cds_AOA65585.1_140
ppa:PAS_chr1-3_0153	lcl|CP014715.1_cds_AOA66731.1_141
ppa:PAS_chr1-3_0153	lcl|CP014715.1_cds_AOA66731.1_141
ppa:PAS_chr1-3_0154	lcl|CP014715.1_cds_AOA66639.1_142
ppa:PAS_chr1-3_0155	lcl|CP014715.1_cds_AOA66145.1_143
ppa:PAS_chr1-3_0301	lcl|CP014715.1_cds_AOA66467.1_144
ppa:PAS_chr1-3_0156	lcl|CP014715.1_cds_AOA66499.1_145
ppa:PAS_chr1-3_0157	lcl|CP014715.1_cds_AOA66809.1_146
ppa:PAS_chr1-3_0159	lcl|CP014715.1_cds_AOA66004.1_147
ppa:PAS_chr1-3_0160	lcl|CP014715.1_cds_AOA65614.1_148
ppa:PAS_chr1-3_0162	lcl|CP014715.1_cds_AOA66420.1_149
ppa:PAS_chr1-3_0302	lcl|CP014715.1_cds_AOA66449.1_150
ppa:PAS_chr1-3_0163	lcl|CP014715.1_cds_AOA66748.1_151
ppa:PAS_chr1-3_0164	lcl|CP014715.1_cds_AOA66280.1_152
ppa:PAS_chr1-3_0165	lcl|CP014715.1_cds_AOA65686.1_153
ppa:PAS_chr1-3_0166	lcl|CP014715.1_cds_AOA66817.1_154
ppa:PAS_chr1-3_0167	lcl|CP014715.1_cds_AOA66085.1_155
ppa:PAS_chr1-3_0168	lcl|CP014715.1_cds_AOA65566.1_156
ppa:PAS_chr1-3_0169	lcl|CP014715.1_cds_AOA65459.1_157
ppa:PAS_chr1-3_0170	lcl|CP014715.1_cds_AOA65837.1_158
ppa:PAS_chr1-3_0170	lcl|CP014715.1_cds_AOA65838.1_159
ppa:PAS_chr1-3_0171	lcl|CP014715.1_cds_AOA65872.1_160
ppa:PAS_chr1-3_0172	lcl|CP014715.1_cds_AOA66777.1_161
ppa:PAS_chr1-3_0303	lcl|CP014715.1_cds_AOA65936.1_162
ppa:PAS_chr1-3_0173	lcl|CP014715.1_cds_AOA65638.1_163
ppa:PAS_chr1-3_0174	lcl|CP014715.1_cds_AOA66067.1_164
ppa:PAS_chr1-3_0175	lcl|CP014715.1_cds_AOA66876.1_165
ppa:PAS_chr1-3_0176	lcl|CP014715.1_cds_AOA66073.1_166
ppa:PAS_chr1-3_0177	lcl|CP014715.1_cds_AOA66827.1_167
ppa:PAS_chr1-3_0178	lcl|CP014715.1_cds_AOA66724.1_168
ppa:PAS_chr1-3_0179	lcl|CP014715.1_cds_AOA66727.1_169
ppa:PAS_chr1-3_0180	lcl|CP014715.1_cds_AOA66141.1_170
ppa:PAS_chr1-3_0181	lcl|CP014715.1_cds_AOA66656.1_171
ppa:PAS_chr1-3_0182	lcl|CP014715.1_cds_AOA65410.1_172
ppa:PAS_chr1-3_0183	lcl|CP014715.1_cds_AOA66036.1_173
ppa:PAS_chr1-3_0184	lcl|CP014715.1_cds_AOA65631.1_174
ppa:PAS_chr1-3_0185	lcl|CP014715.1_cds_AOA65536.1_175
ppa:PAS_chr1-3_0186	lcl|CP014715.1_cds_AOA65501.1_176
ppa:PAS_chr1-3_0187	lcl|CP014715.1_cds_AOA65635.1_177
ppa:PAS_chr1-3_0188	lcl|CP014715.1_cds_AOA66814.1_178
ppa:PAS_chr1-3_0189	lcl|CP014715.1_cds_AOA65660.1_179
ppa:PAS_chr1-3_0190	lcl|CP014715.1_cds_AOA66730.1_180
ppa:PAS_chr1-3_0191	lcl|CP014715.1_cds_AOA66547.1_181
ppa:PAS_chr1-3_0191	lcl|CP014715.1_cds_AOA66547.1_181
ppa:PAS_chr1-3_0192	lcl|CP014715.1_cds_AOA65398.1_182
ppa:PAS_chr1-3_0193	lcl|CP014715.1_cds_AOA65780.1_183
ppa:PAS_chr1-3_0304	lcl|CP014715.1_cds_AOA66143.1_184
ppa:PAS_chr1-3_0194	lcl|CP014715.1_cds_AOA65675.1_185
ppa:PAS_chr1-3_0195	lcl|CP014715.1_cds_AOA66063.1_186
ppa:PAS_chr1-3_0197	lcl|CP014715.1_cds_AOA66702.1_188
ppa:PAS_chr1-3_0198	lcl|CP014715.1_cds_AOA66037.1_189
ppa:PAS_chr1-3_0199	lcl|CP014715.1_cds_AOA66030.1_190
ppa:PAS_chr1-3_0200	lcl|CP014715.1_cds_AOA66436.1_191
ppa:PAS_chr1-3_0201	lcl|CP014715.1_cds_AOA66313.1_192
ppa:PAS_chr1-3_0202	lcl|CP014715.1_cds_AOA65539.1_193
ppa:PAS_chr1-3_0305	lcl|CP014715.1_cds_AOA65561.1_194
ppa:PAS_chr1-3_0203	lcl|CP014715.1_cds_AOA66487.1_195
ppa:PAS_chr1-3_0204	lcl|CP014715.1_cds_AOA66679.1_196
ppa:PAS_chr1-3_0205	lcl|CP014715.1_cds_AOA66157.1_197
ppa:PAS_chr1-3_0206	lcl|CP014715.1_cds_AOA66769.1_198
ppa:PAS_chr1-3_0207	lcl|CP014715.1_cds_AOA65854.1_199
ppa:PAS_chr1-3_0208	lcl|CP014715.1_cds_AOA66479.1_200
ppa:PAS_chr1-3_0209	lcl|CP014715.1_cds_AOA66806.1_201
ppa:PAS_chr1-3_0210	lcl|CP014715.1_cds_AOA66770.1_202
ppa:PAS_chr1-3_0211	lcl|CP014715.1_cds_AOA66897.1_203
ppa:PAS_chr1-3_0212	lcl|CP014715.1_cds_AOA65821.1_204
ppa:PAS_chr1-3_0213	lcl|CP014715.1_cds_AOA66133.1_205
ppa:PAS_chr1-3_0215	lcl|CP014715.1_cds_AOA66893.1_206
ppa:PAS_chr1-3_0216	lcl|CP014715.1_cds_AOA66226.1_207
ppa:PAS_chr1-3_0217	lcl|CP014715.1_cds_AOA65513.1_208
ppa:PAS_chr1-3_0218	lcl|CP014715.1_cds_AOA65589.1_209
ppa:PAS_chr1-3_0219	lcl|CP014715.1_cds_AOA66007.1_210
ppa:PAS_chr1-3_0220	lcl|CP014715.1_cds_AOA65798.1_211
ppa:PAS_chr1-3_0221	lcl|CP014715.1_cds_AOA65904.1_212
ppa:PAS_chr1-3_0222	lcl|CP014715.1_cds_AOA66695.1_213
ppa:PAS_chr1-3_0225	lcl|CP014715.1_cds_AOA65549.1_215
ppa:PAS_chr1-3_0226	lcl|CP014715.1_cds_AOA65797.1_216
ppa:PAS_chr1-3_0226	lcl|CP014715.1_cds_AOA66146.1_217
ppa:PAS_chr1-3_0227	lcl|CP014715.1_cds_AOA66146.1_217
ppa:PAS_chr1-3_0227	lcl|CP014715.1_cds_AOA65797.1_216
ppa:PAS_chr1-3_0228	lcl|CP014715.1_cds_AOA66657.1_218
ppa:PAS_chr1-3_0229	lcl|CP014715.1_cds_AOA66532.1_219
ppa:PAS_chr1-3_0230	lcl|CP014715.1_cds_AOA66610.1_220
ppa:PAS_chr1-3_0231	lcl|CP014715.1_cds_AOA66262.1_221
ppa:PAS_chr1-3_0306	lcl|CP014715.1_cds_AOA65918.1_222
ppa:PAS_chr1-3_0232	lcl|CP014715.1_cds_AOA66909.1_223
ppa:PAS_chr1-3_0233	lcl|CP014715.1_cds_AOA66014.1_224
ppa:PAS_chr1-3_0234	lcl|CP014715.1_cds_AOA66009.1_225
ppa:PAS_chr1-3_0235	lcl|CP014715.1_cds_AOA65496.1_228
ppa:PAS_chr1-3_0236	lcl|CP014715.1_cds_AOA65703.1_229
ppa:PAS_chr1-3_0237	lcl|CP014715.1_cds_AOA66764.1_230
ppa:PAS_chr1-3_0238	lcl|CP014715.1_cds_AOA66158.1_231
ppa:PAS_chr1-3_0239	lcl|CP014715.1_cds_AOA66052.1_232
ppa:PAS_chr1-3_0240	lcl|CP014715.1_cds_AOA66644.1_233
ppa:PAS_chr1-3_0241	lcl|CP014715.1_cds_AOA66713.1_234
ppa:PAS_chr1-3_0242	lcl|CP014715.1_cds_AOA65668.1_235
ppa:PAS_chr1-3_0243	lcl|CP014715.1_cds_AOA66047.1_236
ppa:PAS_chr1-3_0244	lcl|CP014715.1_cds_AOA65399.1_237
ppa:PAS_chr1-3_0244	lcl|CP014715.1_cds_AOA65399.1_237
ppa:PAS_chr1-3_0307	lcl|CP014715.1_cds_AOA65709.1_238
ppa:PAS_chr1-3_0308	lcl|CP014715.1_cds_AOA66096.1_239
ppa:PAS_chr1-3_0246	lcl|CP014715.1_cds_AOA66739.1_240
ppa:PAS_chr1-3_0247	lcl|CP014715.1_cds_AOA66454.1_241
ppa:PAS_chr1-3_0248	lcl|CP014715.1_cds_AOA66805.1_242
ppa:PAS_chr1-3_0249	lcl|CP014715.1_cds_AOA66539.1_243
ppa:PAS_chr1-3_0250	lcl|CP014715.1_cds_AOA66637.1_244
ppa:PAS_chr1-3_0250	lcl|CP014715.1_cds_AOA66637.1_244
ppa:PAS_chr1-3_0251	lcl|CP014715.1_cds_AOA65942.1_245
ppa:PAS_chr1-3_0252	lcl|CP014715.1_cds_AOA66366.1_246
ppa:PAS_chr1-3_0253	lcl|CP014715.1_cds_AOA66161.1_247
ppa:PAS_chr1-3_0254	lcl|CP014715.1_cds_AOA65659.1_248
ppa:PAS_chr1-3_0255	lcl|CP014715.1_cds_AOA65721.1_249
ppa:PAS_chr1-3_0257	lcl|CP014715.1_cds_AOA66517.1_250
ppa:PAS_chr1-3_0257	lcl|CP014715.1_cds_AOA66517.1_250
ppa:PAS_chr1-3_0258	lcl|CP014715.1_cds_AOA65525.1_251
ppa:PAS_chr1-3_0259	lcl|CP014715.1_cds_AOA66502.1_252
ppa:PAS_chr1-3_0260	lcl|CP014715.1_cds_AOA66908.1_253
ppa:PAS_chr1-3_0261	lcl|CP014715.1_cds_AOA66636.1_254
ppa:PAS_chr1-3_0262	lcl|CP014715.1_cds_AOA66645.1_255
ppa:PAS_chr1-3_0264	lcl|CP014715.1_cds_AOA66347.1_256
ppa:PAS_chr1-3_0309	lcl|CP014715.1_cds_AOA66284.1_257
ppa:PAS_chr1-3_0265	lcl|CP014715.1_cds_AOA65527.1_258
ppa:PAS_chr1-3_0266	lcl|CP014715.1_cds_AOA66464.1_259
ppa:PAS_chr1-3_0267	lcl|CP014715.1_cds_AOA65694.1_260
ppa:PAS_chr1-3_0268	lcl|CP014715.1_cds_AOA66171.1_261
ppa:PAS_chr1-3_0269	lcl|CP014715.1_cds_AOA65507.1_262
ppa:PAS_chr1-3_0310	lcl|CP014715.1_cds_AOA66775.1_263
ppa:PAS_chr1-3_0271	lcl|CP014715.1_cds_AOA66544.1_264
ppa:PAS_chr1-3_0311	lcl|CP014715.1_cds_AOA65438.1_265
ppa:PAS_chr1-3_0272	lcl|CP014715.1_cds_AOA66571.1_266
ppa:PAS_chr1-3_0273	lcl|CP014715.1_cds_AOA66311.1_267
ppa:PAS_chr1-3_0274	lcl|CP014715.1_cds_AOA66631.1_268
ppa:PAS_chr1-3_0275	lcl|CP014715.1_cds_AOA65847.1_269
ppa:PAS_chr1-3_0276	lcl|CP014715.1_cds_AOA65866.1_270
ppa:PAS_chr1-3_0276	lcl|CP014715.1_cds_AOA65866.1_270
ppa:PAS_chr1-3_0277	lcl|CP014715.1_cds_AOA66732.1_271
ppa:PAS_chr1-3_0278	lcl|CP014715.1_cds_AOA65925.1_272
ppa:PAS_chr1-3_0279	lcl|CP014715.1_cds_AOA66786.1_273
ppa:PAS_chr1-3_0280	lcl|CP014715.1_cds_AOA65756.1_274
ppa:PAS_chr1-3_0312	lcl|CP014715.1_cds_AOA66899.1_275
ppa:PAS_chr1-3_0281	lcl|CP014715.1_cds_AOA66447.1_276
ppa:PAS_chr1-3_0285	lcl|CP014715.1_cds_AOA66354.1_277
ppa:PAS_chr1-3_0287	lcl|CP014715.1_cds_AOA65791.1_279
ppa:PAS_chr1-3_0288	lcl|CP014715.1_cds_AOA66211.1_280
ppa:PAS_chr1-3_0289	lcl|CP014715.1_cds_AOA66491.1_281
ppa:PAS_chr1-1_0002	lcl|CP014715.1_cds_AOA65393.1_282
ppa:PAS_chr1-1_0003	lcl|CP014715.1_cds_AOA66585.1_283
ppa:PAS_chr1-1_0459	lcl|CP014715.1_cds_AOA66912.1_284
ppa:PAS_chr1-1_0461	lcl|CP014715.1_cds_AOA66277.1_285
ppa:PAS_chr1-1_0460	lcl|CP014715.1_cds_AOA65784.1_286
ppa:PAS_chr1-1_0004	lcl|CP014715.1_cds_AOA66772.1_287
ppa:PAS_chr1-1_0005	lcl|CP014715.1_cds_AOA66082.1_288
ppa:PAS_chr1-1_0006	lcl|CP014715.1_cds_AOA66360.1_289
ppa:PAS_chr1-1_0007	lcl|CP014715.1_cds_AOA65710.1_290
ppa:PAS_chr1-1_0008	lcl|CP014715.1_cds_AOA65620.1_291
ppa:PAS_chr1-1_0009	lcl|CP014715.1_cds_AOA66652.1_292
ppa:PAS_chr1-1_0010	lcl|CP014715.1_cds_AOA65392.1_293
ppa:PAS_chr1-1_0011	lcl|CP014715.1_cds_AOA66382.1_294
ppa:PAS_chr1-1_0012	lcl|CP014715.1_cds_AOA65860.1_295
ppa:PAS_chr1-1_0013	lcl|CP014715.1_cds_AOA65537.1_296
ppa:PAS_chr1-1_0015	lcl|CP014715.1_cds_AOA66040.1_297
ppa:PAS_chr1-1_0015	lcl|CP014715.1_cds_AOA66040.1_297
ppa:PAS_chr1-1_0016	lcl|CP014715.1_cds_AOA65434.1_298
ppa:PAS_chr1-1_0017	lcl|CP014715.1_cds_AOA66677.1_299
ppa:PAS_chr1-1_0018	lcl|CP014715.1_cds_AOA65832.1_300
ppa:PAS_chr1-1_0019	lcl|CP014715.1_cds_AOA66062.1_301
ppa:PAS_chr1-1_0020	lcl|CP014715.1_cds_AOA65671.1_302
ppa:PAS_chr1-1_0462	lcl|CP014715.1_cds_AOA65669.1_303
ppa:PAS_chr1-1_0021	lcl|CP014715.1_cds_AOA65593.1_304
ppa:PAS_chr1-1_0022	lcl|CP014715.1_cds_AOA65813.1_305
ppa:PAS_chr1-1_0024	lcl|CP014715.1_cds_AOA65437.1_306
ppa:PAS_chr1-1_0025	lcl|CP014715.1_cds_AOA65967.1_307
ppa:PAS_chr1-1_0026	lcl|CP014715.1_cds_AOA65963.1_308
ppa:PAS_chr1-1_0027	lcl|CP014715.1_cds_AOA66034.1_309
ppa:PAS_chr1-1_0028	lcl|CP014715.1_cds_AOA65577.1_310
ppa:PAS_chr1-1_0029	lcl|CP014715.1_cds_AOA65652.1_312
ppa:PAS_chr1-1_0030	lcl|CP014715.1_cds_AOA65765.1_313
ppa:PAS_chr1-1_0464	lcl|CP014715.1_cds_AOA65851.1_314
ppa:PAS_chr1-1_0465	lcl|CP014715.1_cds_AOA65384.1_315
ppa:PAS_chr1-1_0031	lcl|CP014715.1_cds_AOA65424.1_316
ppa:PAS_chr1-1_0466	lcl|CP014715.1_cds_AOA66217.1_317
ppa:PAS_chr1-1_0032	lcl|CP014715.1_cds_AOA66478.1_318
ppa:PAS_chr1-1_0467	lcl|CP014715.1_cds_AOA65559.1_319
ppa:PAS_chr1-1_0033	lcl|CP014715.1_cds_AOA66633.1_320
ppa:PAS_chr1-1_0034	lcl|CP014715.1_cds_AOA66913.1_321
ppa:PAS_chr1-1_0035	lcl|CP014715.1_cds_AOA66291.1_322
ppa:PAS_chr1-1_0036	lcl|CP014715.1_cds_AOA66787.1_323
ppa:PAS_chr1-1_0037	lcl|CP014715.1_cds_AOA66720.1_324
ppa:PAS_chr1-1_0038	lcl|CP014715.1_cds_AOA65795.1_325
ppa:PAS_chr1-1_0039	lcl|CP014715.1_cds_AOA66523.1_326
ppa:PAS_chr1-1_0040	lcl|CP014715.1_cds_AOA66802.1_327
ppa:PAS_chr1-1_0041	lcl|CP014715.1_cds_AOA66287.1_328
ppa:PAS_chr1-1_0042	lcl|CP014715.1_cds_AOA66396.1_329
